OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LOGRECNO
330,42,101,2801,42101002801,28.01,Census Tract 28.01,G5020,S,222950,0,39.9289729,-75.1568319,10369
331,42,101,980500,42101980500,9805,Census Tract 9805,G5020,S,401968,13468,40.0177581,-75.144182,10713
332,42,101,801,42101000801,8.01,Census Tract 8.01,G5020,S,99958,12755,39.9497374,-75.1804054,10343
333,42,101,1101,42101001101,11.01,Census Tract 11.01,G5020,S,174014,0,39.9449918,-75.162524,10350
334,42,101,27402,42101027402,274.02,Census Tract 274.02,G5020,S,511360,0,40.0390702,-75.1251352,10587
335,42,101,8601,42101008601,86.01,Census Tract 86.01,G5020,S,252482,0,39.9537341,-75.216593,10419
336,42,101,36502,42101036502,365.02,Census Tract 365.02,G5020,S,1733189,0,40.1235705,-74.9993521,10686
337,42,101,36700,42101036700,367,Census Tract 367,G5020,S,801969,0,39.9607248,-75.1439885,10688
338,42,101,37600,42101037600,376,Census Tract 376,G5020,S,717304,0,39.9599009,-75.1551651,10693
339,42,101,38600,42101038600,386,Census Tract 386,G5020,S,3304398,32066,40.0582762,-75.2110913,10703
340,42,101,38500,42101038500,385,Census Tract 385,G5020,S,1338941,2576,40.0757528,-75.2146234,10702
341,42,101,38700,42101038700,387,Census Tract 387,G5020,S,2053212,22241,40.0833122,-75.213077,10704
342,42,101,38800,42101038800,388,Census Tract 388,G5020,S,1383530,4751,40.0571595,-75.1982438,10705
343,42,101,38900,42101038900,389,Census Tract 389,G5020,S,1280551,0,40.0543431,-75.1682764,10706
344,42,101,980000,42101980000,9800,Census Tract 9800,G5020,S,8922478,1508835,39.9880961,-75.1967773,10708
345,42,101,26900,42101026900,269,Census Tract 269,G5020,S,614686,0,40.0556007,-75.1324048,10581
346,42,101,27000,42101027000,270,Census Tract 270,G5020,S,642216,0,40.0493231,-75.1331512,10582
347,42,101,27100,42101027100,271,Census Tract 271,G5020,S,372278,39344,40.0484793,-75.1263611,10583
348,42,101,27200,42101027200,272,Census Tract 272,G5020,S,679046,794,40.0472339,-75.1180889,10584
349,42,101,27300,42101027300,273,Census Tract 273,G5020,S,938011,14079,40.0377547,-75.1189432,10585
350,42,101,27500,42101027500,275,Census Tract 275,G5020,S,606825,0,40.0400497,-75.1322707,10588
351,42,101,27600,42101027600,276,Census Tract 276,G5020,S,663745,0,40.0429404,-75.1392771,10589
352,42,101,27700,42101027700,277,Census Tract 277,G5020,S,542404,0,40.0505444,-75.1512267,10590
353,42,101,27800,42101027800,278,Census Tract 278,G5020,S,724725,0,40.0425278,-75.1471626,10591
354,42,101,28000,42101028000,280,Census Tract 280,G5020,S,718346,0,40.026119,-75.1546481,10594
355,42,101,28100,42101028100,281,Census Tract 281,G5020,S,503541,0,40.0304473,-75.1491299,10595
356,42,101,28200,42101028200,282,Census Tract 282,G5020,S,855812,0,40.0348704,-75.1403327,10596
357,42,101,31800,42101031800,318,Census Tract 318,G5020,S,464290,0,40.0311021,-75.0769892,10632
358,42,101,31900,42101031900,319,Census Tract 319,G5020,S,773285,0,40.02306,-75.0648988,10633
359,42,101,32000,42101032000,320,Census Tract 320,G5020,S,681549,0,40.0271751,-75.0548674,10634
360,42,101,32100,42101032100,321,Census Tract 321,G5020,S,552928,0,40.0170175,-75.0589752,10635
361,42,101,32300,42101032300,323,Census Tract 323,G5020,S,600043,0,40.0210898,-75.051527,10636
362,42,101,32500,42101032500,325,Census Tract 325,G5020,S,839319,0,40.0263918,-75.0452561,10637
363,42,101,32600,42101032600,326,Census Tract 326,G5020,S,809898,0,40.0302773,-75.0396263,10638
364,42,101,989100,42101989100,9891,Census Tract 9891,G5020,S,2664969,1649710,40.037783,-75.0034085,10718
365,42,101,32900,42101032900,329,Census Tract 329,G5020,S,922922,21617,40.037901,-75.0249713,10639
366,42,101,33000,42101033000,330,Census Tract 330,G5020,S,732860,0,40.0335974,-75.0338492,10640
367,42,101,33200,42101033200,332,Census Tract 332,G5020,S,828420,0,40.0439411,-75.0448281,10643
368,42,101,980300,42101980300,9803,Census Tract 9803,G5020,S,7594331,24435,40.0812065,-75.0106977,10711
369,42,101,35500,42101035500,355,Census Tract 355,G5020,S,2290053,1067,40.0911285,-75.0293244,10669
370,42,101,35800,42101035800,358,Census Tract 358,G5020,S,1757756,2013,40.1213169,-75.0257898,10674
371,42,101,35900,42101035900,359,Census Tract 359,G5020,S,2244717,2511,40.1103418,-75.0151645,10675
372,42,101,36000,42101036000,360,Census Tract 360,G5020,S,2043084,638,40.104267,-75.0108187,10676
373,42,101,36100,42101036100,361,Census Tract 361,G5020,S,1230432,7138,40.0987766,-74.9907481,10677
374,42,101,36203,42101036203,362.03,Census Tract 362.03,G5020,S,1475496,68020,40.0760921,-74.9742967,10680
375,42,101,35302,42101035302,353.02,Census Tract 353.02,G5020,S,1498641,17292,40.0730774,-74.9968713,10668
376,42,101,36201,42101036201,362.01,Census Tract 362.01,G5020,S,1031929,15195,40.08203,-74.9868079,10678
377,42,101,36302,42101036302,363.02,Census Tract 363.02,G5020,S,502696,0,40.0973153,-74.9805151,10682
378,42,101,36900,42101036900,369,Census Tract 369,G5020,S,1859159,193283,39.9494281,-75.1957548,10689
379,42,101,37300,42101037300,373,Census Tract 373,G5020,S,2573046,162376,39.9024981,-75.1879361,10691
380,42,101,37200,42101037200,372,Census Tract 372,G5020,S,1028984,0,39.9129487,-75.1599379,10690
381,42,101,38300,42101038300,383,Census Tract 383,G5020,S,3064496,0,40.010863,-75.1248984,10700
382,42,101,39000,42101039000,390,Census Tract 390,G5020,S,2032689,0,40.03573,-75.093884,10707
383,42,101,37800,42101037800,378,Census Tract 378,G5020,S,3760084,1936838,39.9805802,-75.0956845,10695
384,42,101,37700,42101037700,377,Census Tract 377,G5020,S,736894,0,39.9824381,-75.1506932,10694
